AluminioNatural200mm
227-   [23.50;23.75;24.25;24.50;24.75;24.25;24.50;23.50;23.75;23.50;25.00;26.75;26.50;24.25;24.00;23.75;24.00;24.50;24.75;27.75;27.75;24.50;24.00;23.25;23.25;23.00;24.25;26.75;26.75;24.00;23.50;22.75;23.50;23.75;24.75;27.75;27.00;23.50;23.50;22.25;22.75;23.25;24.00;25.75;25.00;23.50;22.75;22.25;22.75;22.50;23.00;23.25;23.00;23.25;22.75;21.75;21.75;22.00;22.75;22.50;22.50;22.25;22.25;21.75]
712-   [23.75;23.75;24.00;25.00;25.00;24.00;23.75;23.75;24.00;23.75;24.50;26.25;26.50;24.75;23.75;24.50;23.75;24.00;24.75;27.75;27.00;24.50;24.00;23.25;23.25;23.75;24.50;27.00;26.75;24.00;23.50;22.75;23.25;24.00;25.00;27.50;27.00;23.75;23.25;22.50;23.50;23.50;24.25;25.25;25.50;23.25;23.00;22.75;22.75;22.75;22.75;23.75;23.50;22.50;23.00;22.25;22.00;22.75;22.75;22.50;22.75;22.50;22.25;22.50]
1197-  [24.00;22.75;24.50;25.00;24.50;24.25;24.25;24.00;23.75;24.00;24.75;27.00;26.50;24.50;24.00;23.25;24.00;24.00;24.75;27.75;27.50;24.75;23.75;23.50;23.50;24.00;24.75;27.75;26.75;24.25;24.00;23.25;23.00;23.75;24.75;27.75;26.75;24.25;23.75;22.50;23.25;23.50;24.25;26.00;25.25;23.50;22.75;22.75;22.75;23.00;23.50;24.00;23.25;23.50;22.25;22.00;22.75;23.00;22.75;22.50;22.75;23.00;23.00;22.00]
1682-  [24.00;23.50;24.50;24.75;24.75;23.75;24.75;23.50;24.50;24.00;24.50;27.00;26.75;24.25;23.75;24.00;23.75;24.00;25.00;28.00;27.25;25.25;23.75;23.25;23.75;24.00;24.50;27.25;26.50;24.25;23.25;23.00;23.50;24.00;25.00;27.75;27.25;23.75;23.50;23.00;23.75;23.50;24.25;25.75;25.00;23.25;22.75;23.00;23.25;23.00;23.25;23.25;23.50;23.00;22.75;22.00;22.75;22.50;23.00;22.50;22.75;22.75;22.25;22.25]
2167-  [24.00;23.50;24.00;24.50;24.25;24.25;24.50;23.25;24.00;24.00;24.75;26.75;26.50;24.50;23.50;23.75;23.50;24.25;24.75;27.75;27.50;24.50;24.25;23.50;23.50;23.25;25.00;27.50;26.75;24.00;23.75;23.00;23.50;23.75;24.75;28.00;27.00;24.00;23.25;22.50;23.25;23.25;24.00;25.25;25.00;23.25;22.75;23.00;22.75;22.50;23.00;23.00;22.75;23.00;22.50;21.75;23.00;22.75;23.00;22.50;22.25;22.75;22.25;21.75]
2652-  [24.50;23.50;24.00;24.75;24.50;23.75;24.25;23.00;24.75;24.25;24.50;26.75;26.50;24.50;24.00;23.75;23.75;24.00;24.75;27.75;27.50;24.75;24.00;23.00;23.00;24.00;25.00;27.00;27.00;24.00;23.50;23.00;23.25;23.75;24.75;27.75;27.00;24.00;23.50;22.75;23.25;23.50;24.00;25.75;25.25;23.25;23.00;23.00;23.25;23.25;23.25;23.50;23.25;23.00;22.75;22.25;22.50;22.75;22.75;23.00;23.25;22.50;22.25;22.25]
3137-  [23.50;23.75;24.25;25.00;24.75;24.00;24.25;23.50;23.75;24.00;24.50;26.75;26.50;24.50;24.25;24.00;24.00;24.50;25.00;27.50;27.75;24.25;24.00;23.00;23.50;23.50;24.50;27.75;27.00;24.25;23.50;23.00;23.75;23.75;24.25;27.50;27.00;24.00;23.25;23.50;23.25;23.50;24.25;26.25;24.75;23.75;22.75;23.25;23.00;22.50;23.25;23.25;23.00;22.75;22.50;21.75;22.50;22.50;23.25;23.00;23.00;22.25;22.25;22.75]
3622-  [23.50;23.50;24.25;24.75;24.50;24.25;24.25;23.50;24.25;24.00;24.50;26.50;26.75;24.50;24.25;23.75;23.75;24.00;24.50;27.75;28.00;24.50;24.00;23.00;23.25;23.50;24.50;27.00;26.50;24.00;23.25;23.25;23.25;24.00;24.50;27.50;26.75;23.50;23.25;22.50;22.75;23.50;23.75;25.50;25.00;23.25;22.75;22.75;22.25;22.75;23.50;23.00;23.25;22.50;23.00;22.00;22.25;23.00;22.75;23.00;22.75;22.25;22.75;21.75]
4107-  [23.75;23.50;24.25;24.00;24.75;24.00;23.75;23.50;24.00;24.00;24.25;26.50;26.50;24.50;23.75;24.00;24.00;24.00;24.75;27.75;27.25;24.25;24.00;23.00;23.50;23.50;24.50;27.50;26.75;23.75;23.25;23.00;23.75;23.75;24.50;27.75;27.00;23.75;23.00;22.50;23.00;23.50;23.75;25.50;24.75;23.25;22.75;23.00;22.75;23.00;22.75;23.25;22.75;23.00;23.00;22.50;23.25;23.00;22.75;23.00;22.25;22.50;22.25;22.25]
4592-  [23.75;23.75;24.00;24.50;24.50;23.75;24.00;23.50;24.00;23.75;24.00;26.50;26.25;24.25;23.75;23.75;23.50;24.00;24.50;27.50;27.25;23.75;24.00;23.50;23.25;23.25;24.25;27.00;26.75;23.75;23.50;23.00;23.50;23.75;24.75;28.00;27.00;24.00;23.50;22.50;22.75;23.25;24.00;25.75;25.00;23.25;22.75;22.75;22.75;23.00;23.00;23.25;23.25;23.00;22.75;21.75;22.50;22.75;22.50;22.75;23.00;22.25;22.75;22.25]
